2024-09-14 22:33:19,421 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 347 - Creating joint Base_Link
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1397 - Fixing components for Basefoot_link
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1402 - Fixing 53
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1409 - Component 53 is already fixed
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1402 - Fixing 52
2024-09-14 22:34:07,617 INFO  ExportHelperExtension.cs: 1409 - Component 52 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 51
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 51 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 49
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 49 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 48
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 48 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 45
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 45 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1409 - Component 44 is already fixed
2024-09-14 22:34:07,627 INFO  ExportHelperExtension.cs: 1402 - Fixing 150
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1409 - Component 150 is already fixed
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1402 - Fixing 144
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1409 - Component 144 is already fixed
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1402 - Fixing 136
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1409 - Component 136 is already fixed
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1402 - Fixing 134
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1409 - Component 134 is already fixed
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1402 - Fixing 133
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1409 - Component 133 is already fixed
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1402 - Fixing 129
2024-09-14 22:34:07,632 INFO  ExportHelperExtension.cs: 1409 - Component 129 is already fixed
2024-09-14 22:34:07,635 INFO  ExportHelperExtension.cs: 1402 - Fixing 146
2024-09-14 22:34:07,635 INFO  ExportHelperExtension.cs: 1409 - Component 146 is already fixed
2024-09-14 22:34:07,635 INFO  ExportHelperExtension.cs: 1402 - Fixing 141
2024-09-14 22:34:07,635 INFO  ExportHelperExtension.cs: 1409 - Component 141 is already fixed
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1402 - Fixing 145
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1409 - Component 145 is already fixed
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1402 - Fixing 135
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1409 - Component 135 is already fixed
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1402 - Fixing 138
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1409 - Component 138 is already fixed
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1402 - Fixing 131
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1409 - Component 131 is already fixed
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1402 - Fixing 140
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1409 - Component 140 is already fixed
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1402 - Fixing 137
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1409 - Component 137 is already fixed
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1402 - Fixing 149
2024-09-14 22:34:07,637 INFO  ExportHelperExtension.cs: 1409 - Component 149 is already fixed
2024-09-14 22:34:07,642 INFO  ExportHelperExtension.cs: 1402 - Fixing 139
2024-09-14 22:34:07,642 INFO  ExportHelperExtension.cs: 1409 - Component 139 is already fixed
2024-09-14 22:34:07,642 INFO  ExportHelperExtension.cs: 1402 - Fixing 147
2024-09-14 22:34:07,642 INFO  ExportHelperExtension.cs: 1409 - Component 147 is already fixed
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1402 - Fixing 143
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1409 - Component 143 is already fixed
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1402 - Fixing 132
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1409 - Component 132 is already fixed
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1402 - Fixing 130
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1409 - Component 130 is already fixed
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1402 - Fixing 148
2024-09-14 22:34:07,652 INFO  ExportHelperExtension.cs: 1409 - Component 148 is already fixed
